IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Value,FactValueTranslationID,Language,DateModified,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)"
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Azerbaijan,AZE,2016.0,1.985464,3.086878,9736000.0,,,,,4.107188,2453.639675
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Azerbaijan,AZE,2016.0,0.199563,0.689448,0.203629,2.581278,0.484388,2.580951,2.314679,4.107188,2453.639675
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Azerbaijan,AZE,2016.0,1.985464,3.086878,9736000.0,,,,,4.107188,2453.639675
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Azerbaijan,AZE,2016.0,0.199563,0.689448,0.203629,2.581278,0.484388,2.580951,2.314679,4.107188,2453.639675
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Azerbaijan,AZE,2016.0,1.985464,3.086878,9736000.0,,,,,4.107188,2453.639675
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BHS,Bahamas,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Bahamas,BHS,2016.0,0.203992,0.889416,0.363759,4.655191,0.813804,2.620387,2.103189,3.169523,2487.53188
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BHS,Bahamas,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Bahamas,BHS,2016.0,2.062225,3.123626,378000.0,,,,,3.169523,2487.53188
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BHS,Bahamas,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Bahamas,BHS,2016.0,0.203992,0.889416,0.363759,4.655191,0.813804,2.620387,2.103189,3.169523,2487.53188
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BHS,Bahamas,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Bahamas,BHS,2016.0,2.062225,3.123626,378000.0,,,,,3.169523,2487.53188
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BHS,Bahamas,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Bahamas,BHS,2016.0,0.203992,0.889416,0.363759,4.655191,0.813804,2.620387,2.103189,3.169523,2487.53188
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BHS,Bahamas,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Bahamas,BHS,2016.0,2.062225,3.123626,378000.0,,,,,3.169523,2487.53188
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Bangladesh,BGD,2016.0,0.252249,0.583181,0.135429,4.279268,0.510254,4.136923,1.460576,6.040777,4053.755602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Bangladesh,BGD,2016.0,3.102618,5.150985,157976992.0,,,,,6.040777,4053.755602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Bangladesh,BGD,2016.0,0.252249,0.583181,0.135429,4.279268,0.510254,4.136923,1.460576,6.040777,4053.755602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Bangladesh,BGD,2016.0,3.102618,5.150985,157976992.0,,,,,6.040777,4053.755602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Bangladesh,BGD,2016.0,0.252249,0.583181,0.135429,4.279268,0.510254,4.136923,1.460576,6.040777,4053.755602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Bangladesh,BGD,2016.0,3.102618,5.150985,157976992.0,,,,,6.040777,4053.755602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BRB,Barbados,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Barbados,BRB,2016.0,0.229685,0.919868,0.321753,4.663418,0.841682,2.759747,1.583089,3.958051,2611.745981
